,repository_name,language
0,,
1,,Jupyter Notebook
2,,Smarty
3,,JavaScript
4,,
5,,Python
6,,PHP
7,,Java
8,,Python
9,,CSS
10,,Java
11,,Java
12,,PowerShell
13,,Java
14,,C#
15,,PHP
16,,Ruby
17,,JavaScript
18,,Python
19,,PHP
20,,Python
21,,Jupyter Notebook
22,,C#
23,,Java
24,,JavaScript
25,,PHP
26,,C#
27,,Java
28,,PHP
29,,Python
30,,Ruby
31,,PHP
32,,Kotlin
33,,PHP
34,,Python
35,,C
36,,
37,,Swift
38,,Python
39,,C++
40,,Python
41,,Go
42,,C
43,,Python
44,,Python
45,,Jupyter Notebook
46,,Python
47,,Python
48,,
49,,Java
50,,Kotlin
51,,Python
52,,JavaScript
53,,TypeScript
54,,Python
55,,TypeScript
56,,JavaScript
57,,TypeScript
58,,Python
59,,
60,,Jupyter Notebook
61,,Python
62,,Python
63,,Python
64,,Java
65,,Jupyter Notebook
66,,Python
67,,Python
68,,Java
69,,Objective-C
70,,JavaScript
71,,TypeScript
72,,Java
73,,
74,,Python
75,,Python
76,,Python
77,,Java
78,,Java
79,,Kotlin
80,,Java
81,,C#
82,,C#
83,,JavaScript
84,,JavaScript
85,,Go
86,,Java
87,,TypeScript
88,,Python
89,,C++
90,,
91,,Python
92,,Python
93,,C#
94,,HTML
95,,
96,,PHP
97,,PHP
98,,JavaScript
99,,Python
100,,Scala
101,,Python
102,,Python
103,,Python
104,,Python
105,,Python
106,,Java
107,,TypeScript
108,,Swift
109,,Python
110,,TypeScript
111,,TypeScript
112,,Ruby
113,,Python
114,,Python
115,,Python
116,,C
117,,Python
118,,Python
119,,Python
120,,C++
121,,Java
122,,
123,,Mustache
124,,Python
125,,Python
126,,Swift
127,,JavaScript
128,,Swift
129,,Swift
130,,Swift
131,,Swift
132,,Swift
133,,Swift
134,,Swift
135,,Swift
136,,Swift
137,,Python
138,,Python
139,,Python
140,,JavaScript
141,,Python
142,,TypeScript
143,,Python
144,,Python
145,,JavaScript
146,,Python
147,,Python
148,,Zeek
149,,Zeek
150,,C++
151,,Java
152,,
153,,Mustache
154,,Python
155,,Python
156,,Swift
157,,JavaScript
158,,Swift
159,,Swift
160,,Swift
161,,Swift
162,,Swift
163,,Swift
164,,Swift
165,,Swift
166,,Swift
167,,Python
168,,Python
169,,Python
170,,JavaScript
171,,Python
172,,TypeScript
173,,Python
174,,Python
175,,JavaScript
176,,Python
177,,Python
178,,Zeek
179,,Zeek
